LOCATION;TIME;VALUE
AUS;2006;10.8223481611622
AUS;2007;11.908116241574
AUS;2008;12.690490115317
AUS;2010;11.6544447924914
AUS;2011;9.94809376233771
AUS;2012;12.70593098198
AUS;2013;8.89543289176863
AUS;2014;13.2733092979013
AUS;2015;10.7414974536876
AUS;2016;11.9163451967014
AUS;2017;13.2064145558648
AUS;2018;10.7206682323599
AUS;2019;14.0551917302357
AUS;2020;11.0236533295699
AUT;2006;6.5339135406525
AUT;2008;8.31845717490648
AUT;2009;8.50980782227114
AUT;2010;7.41526201832166
AUT;2011;8.36777904125539
AUT;2012;8.63387780924659
AUT;2013;9.89711594463616
AUT;2014;9.61992905607154
AUT;2015;8.86871864354196
AUT;2016;9.46855083056191
AUT;2017;6.74767245934208
AUT;2018;14.0503853622575
AUT;2019;9.37564940050336
AUT;2020;7.68745509361689
BEL;2006;10.8405254317664
BEL;2007;9.00793287649622
BEL;2008;12.1763711062478
BEL;2010;8.30550438864223
BEL;2011;8.74082268877953
BEL;2012;10.9078372967675
BEL;2013;9.99678039990348
BEL;2014;12.8948723406011
BEL;2015;13.6465282974473
BEL;2016;13.2738373545761
BEL;2017;12.8958822125688
BEL;2018;16.0938188165338
BEL;2019;14.382826362934
BEL;2020;16.9621814970793
CAN;2006;10.4064053104717
CAN;2007;9.58427488550713
CAN;2008;8.13035457152778
CAN;2009;10.2728485802728
CAN;2010;9.13225930484528
CAN;2011;10.4205665525197
CAN;2012;9.68489400303584
CAN;2013;10.5874015384687
CAN;2014;11.3502263295005
CAN;2015;11.6270326988318
CAN;2016;11.6169369561121
CAN;2017;7.06174209149144
CAN;2018;11.8637938557911
CAN;2019;13.585134155314
CAN;2020;15.25334399241
CZE;2006;16.9073979911526
CZE;2007;17.104243644015
CZE;2009;14.4488179178231
CZE;2010;16.1636802023492
CZE;2011;16.9955208322235
CZE;2012;15.4958796441103
CZE;2013;15.5243030753776
CZE;2014;14.8535686688934
CZE;2015;12.434820932521
CZE;2016;11.1624101755809
CZE;2017;13.0038568317098
CZE;2018;12.284954457953
CZE;2020;11.8420256606005
DNK;2006;5.96924064135795
DNK;2007;9.54792232834583
DNK;2008;6.17657696674957
DNK;2009;9.28906965556014
DNK;2010;6.51757531216425
DNK;2011;8.0586694230686
DNK;2012;8.61300497725623
DNK;2013;8.53027626594836
DNK;2014;9.83368177179015
DNK;2015;10.0010066709194
DNK;2016;8.62314460988904
DNK;2017;10.2966483237213
DNK;2018;8.19674678425456
DNK;2019;7.80981730653486
DNK;2020;9.44736324036111
